title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasEmail,landingPage,updateFrequency,theme,distribution.0.downloadURL,distribution.0.title,distribution.0.description,distribution.0.format,distribution.1.downloadURL,distribution.0.size,distribution.1.title,distribution.1.description,distribution.1.format,distribution.1.size,distribution.2.downloadURL,distribution.2.title,distribution.2.format,distribution.3.downloadURL,distribution.3.title,distribution.3.format,distribution.4.downloadURL,distribution.4.title,distribution.4.format,distribution.5.downloadURL,distribution.5.title,distribution.5.format,distribution.6.downloadURL,distribution.6.title,distribution.6.format,distribution.7.downloadURL,distribution.7.title,distribution.7.format,distribution.8.downloadURL,distribution.8.title,distribution.8.format,distribution.9.downloadURL,distribution.9.title,distribution.9.format,distribution.10.downloadURL,distribution.10.title,distribution.10.format,distribution.11.downloadURL,distribution.11.title,distribution.11.format,distribution.12.downloadURL,distribution.12.title,distribution.12.format,distribution.13.downloadURL,distribution.13.title,distribution.13.format,distribution.14.downloadURL,distribution.14.title,distribution.14.format,distribution.15.downloadURL,distribution.15.title,distribution.15.format,distribution.16.downloadURL,distribution.16.title,distribution.16.format,distribution.17.downloadURL,distribution.17.title,distribution.17.format,distribution.18.downloadURL,distribution.18.title,distribution.18.format,distribution.19.downloadURL,distribution.19.title,distribution.19.format,distribution.20.downloadURL,distribution.20.title,distribution.20.format,distribution.21.downloadURL,distribution.21.title,distribution.21.format,distribution.22.downloadURL,distribution.22.title,distribution.22.format,distribution.23.downloadURL,distribution.23.title,distribution.23.format,distribution.24.downloadURL,distribution.24.title,distribution.24.format
Motor Vehicle Crashes in New Zealand 2012,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/motor-vehicle-crashes-in-new-zealand-2012/,Creative Commons Attribution 4.0 International (BY) Licence,"safety, accidents, deaths, injuries",,09-07-2014,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/motor-vehicle-crashes-in-new-zealand-2012/,Other-Unknown,transport,https://www.transport.govt.nz/assets/Uploads/Research/Documents/6a33699a0a/section1-historical.xls,Section 1 Historicalÿ,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/52b9702f80/section2-casualties-and-crashes.xls,155 KB,Section 2 Casualties and crashes,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),XLSX,395 KB,https://www.transport.govt.nz/assets/Uploads/Research/Documents/c9e7963577/section3-trucks.xls,Motor vehicle crashes: Section 3 Truck casualties and crashes,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/c2bb099e8b/section4-motorcyclists.xls,Section 4 Motorcycle casualties and crashes,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/0d57e1f341/section5-pedal-cyclists.xls,Section 5 Pedal cyclist casualties and crashes,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/b99972293b/section6-pedestrians.xls,Section 6 Pedestrian casualties and crashes,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/ee390a3073/section7-local-body.xls,Section 7 Local body casualties and crashes,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/612d86872e/section8-drivers.xls,Section 8 Drivers involved in reported injury crashes,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/b66e7afcdc/section9-ethnicity.xls,Section 9 Ethnicity,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Motor-Vehicle-Crashes-2012/1e44218af2/Motor-Vehicle-Crashes-2012-National-health-statistics-for-road-users.pdf,National health statistics for road users,PDF,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Motor-Vehicle-Crashes-2012/8471b8b44d/Motor-Vehicle-Crashes-2012-Breath-and-blood-alcohol-statistics.pdf,Breath and blood alcohol statistics,PDF,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Motor-Vehicle-Crashes-2012/3caac8aea5/Motor-Vehicle-Crashes-2012-Blood-alcohol-levels-for-fatally-injured-drivers.pdf,Blood alcohol levels for fatally injured drivers,PDF,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Motor-Vehicle-Crashes-2012/28402bc01e/Motor-Vehicle-Crashes-2012-International-comparisions-for-road-deaths.pdf,International comparisons for road deaths,PDF,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Motor-Vehicle-Crashes-2012/464dcc7ea3/Motor-Vehicle-Crashes-2012-Road-User-Behaviour-surveys.pdf,Road user behaviour surveys,PDF,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Motor-Vehicle-Crashes-2012/608b9e47c3/Motor-Vehicle-Crashes-2012-Driver-licence-and-vehicle-fleet-statistics.pdf,Driver licence and vehicle fleet statistics,PDF,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Motor-Vehicle-Crashes-2012/df534aa948/Motor-Vehicle-Crashes-2012-New-Zealand-injury-prevention-strategy-serious-injury-outcome-indicators.pdf,Serious injury outcome indicators,PDF,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Motor-Vehicle-Crashes-2012/062aa2d31b/Motor-Vehicle-Crashes-2012-Legislation.pdf,Legislation,PDF,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle Crashes in New Zealand 2011,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2011/,Creative Commons Attribution 4.0 International (BY) Licence,"safety, accidents, deaths, injuries",,09-09-2013,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2011/,Other-Unknown,transport,https://www.transport.govt.nz/assets/Import/Documents/Motor-Vehicle-Crashes-in-New-Zealand-2011.pdf,Motor Vehicle Crashes in New Zealand 2011,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),PDF,,4.5 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle Crashes in New Zealand 2010,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2010/,Creative Commons Attribution 4.0 International (BY) Licence,"safety, accidents, deaths, injuries",,09-09-2013,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2010/,Other-Unknown,transport,https://www.transport.govt.nz/assets/Import/Documents/Motor-Vehicle-Crashes-in-New-Zealand-2011.pdf,Motor Vehicle Crashes in New Zealand 2010,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),PDF,,4.5 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle Crashes in New Zealand 2009,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2009/,Creative Commons Attribution 4.0 International (BY) Licence,"safety, accidents, deaths, injuries",,09-09-2013,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2009/,Other-Unknown,transport,https://www.transport.govt.nz/assets/Import/Documents/Motor-Vehicle-Crashes-in-New-Zealand-2009.pdf,Motor Vehicle Crashes in New Zealand 2009,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),PDF,,3.59 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle Crashes in New Zealand 2008,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2008/,Creative Commons Attribution 4.0 International (BY) Licence,"safety, accidents, deaths, injuries",,09-09-2013,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2008/,Other-Unknown,transport,https://www.transport.govt.nz/assets/Import/Documents/MOT-Motor20vehicle20crashes202008-Full20version.pdf,Motor Vehicle Crashes in New Zealand 2008,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),PDF,,3.23 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle Crashes in New Zealand 2007,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2007/,Creative Commons Attribution 4.0 International (BY) Licence,"safety, accidents, deaths, injuries",,09-09-2013,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2007/,Other-Unknown,transport,https://www.transport.govt.nz/assets/Import/Documents/Pages201520to202420from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Section 1 Historicalÿ,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages202520to206420from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,566 KB,Section 2 Casualties and crashes,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),PDF,858 KB,https://www.transport.govt.nz/assets/Import/Documents/Pages206520to207020from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Motor vehicle crashes: Section 3 Truck casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages207120to207820from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Section 4 Motorcycle casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages207920to208420from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Section 5 Pedal cyclist casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages208520to209220from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Section 6 Pedestrian casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages209320to2010020from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Section 7 Local body casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages2010120to2011020from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Section 8 Drivers involved in reported injury crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages2011120to2011420from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Section 9 Ethnicity,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages2011520to2012420from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,National health statistics for road users,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages2012520to2013620from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Breath and blood alcohol statistics,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages2013720to2014820from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Blood alcohol levels for fatally injured drivers,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages2014920to2016220from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,International comparisons for road deaths,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages2016320to2017020from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Road user behaviour surveys,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages2017120to2017420from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Driver licence and vehicle fleet statistics,PDF,https://www.transport.govt.nz/assets/Import/Documents/Pages2017520to2018020from20Motor20Vehicle20Crashes20in20New20Zealand202007.pdf,Legislation,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle Crashes in New Zealand 2006,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2006/,Creative Commons Attribution 4.0 International (BY) Licence,"safety, accidents, deaths, injuries",,09-09-2013,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2006/,Other-Unknown,transport,https://www.transport.govt.nz/assets/Import/Documents/section1-historical-2006.pdf,Section 1 Historicalÿ,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),PDF,https://www.transport.govt.nz/assets/Import/Documents/section2-casualties-and-crashes-2006.pdf,309 KB,Section 2 Casualties and crashes,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),PDF,1.1 MB,https://www.transport.govt.nz/assets/Import/Documents/section3-trucks-2006.pdf,Motor vehicle crashes: Section 3 Truck casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/section4-motorcycles-2006.pdf,Section 4 Motorcycle casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/section5-cyclists-2006.pdf,Section 5 Pedal cyclist casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/section6-pedestrians-2006.pdf,Section 6 Pedestrian casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/section7-local-body-2006.pdf,Section 7 Local body casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/section8-drivers-2006.pdf,Section 8 Drivers involved in reported injury crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/section9-ethnicity-2006.pdf,Section 9 Ethnicity,PDF,https://www.transport.govt.nz/assets/Import/Documents/hospital-2006.pdf,National health statistics for road users,PDF,https://www.transport.govt.nz/assets/Import/Documents/breath-2006.pdf,Breath and blood alcohol statistics,PDF,https://www.transport.govt.nz/assets/Import/Documents/Blood-2006.pdf,Blood alcohol levels for fatally injured drivers,PDF,https://www.transport.govt.nz/assets/Import/Documents/International-2006.pdf,International comparisons for road deaths,PDF,https://www.transport.govt.nz/assets/Import/Documents/Compliance-2006.pdf,Road user behaviour surveys,PDF,https://www.transport.govt.nz/assets/Import/Documents/Licence-2006.pdf,Driver licence and vehicle fleet statistics,PDF,https://www.transport.govt.nz/assets/Import/Documents/Legislation-2006.pdf,Legislation,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Vehicle Crashes in New Zealand 2005,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2005/,Creative Commons Attribution 4.0 International (BY) Licence,"safety, accidents, deaths, injuries",,09-09-2013,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/roadcrashstatistics/motorvehiclecrashesinnewzealand/2005/,Other-Unknown,transport,https://www.transport.govt.nz/assets/Import/Documents/historical-2005.pdf,Section 1 Historicalÿ,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),PDF,https://www.transport.govt.nz/assets/Import/Documents/casualties-and-crashes-2005.pdf,303 KB,Section 2 Casualties and crashes,Motor vehicle crashes in New Zealand is an annual statistical statement on road crashes in New Zealand.  This is now superseeded by the Annual Crash Statistics (ACS),PDF,858 KB,https://www.transport.govt.nz/assets/Import/Documents/trucks-2005.pdf,Motor vehicle crashes: Section 3 Truck casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/motorcycles-2005.pdf,Section 4 Motorcycle casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/cyclists-2005.pdf,Section 5 Pedal cyclist casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/pedestrians-2005.pdf,Section 6 Pedestrian casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/local-body-2005.pdf,Section 7 Local body casualties and crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/drivers-2005.pdf,Section 8 Drivers involved in reported injury crashes,PDF,https://www.transport.govt.nz/assets/Import/Documents/ethnicity-2005.pdf,Section 9 Ethnicity,PDF,https://www.transport.govt.nz/assets/Import/Documents/hospital-2005.pdf,National health statistics for road users,PDF,https://www.transport.govt.nz/assets/Import/Documents/breath-2005.pdf,Breath and blood alcohol statistics,PDF,https://www.transport.govt.nz/assets/Import/Documents/blood-2005.pdf,Blood alcohol levels for fatally injured drivers,PDF,https://www.transport.govt.nz/assets/Import/Documents/international-2005.pdf,International comparisons for road deaths,PDF,https://www.transport.govt.nz/assets/Import/Documents/road-2005.pdf,Road user behaviour surveys,PDF,https://www.transport.govt.nz/assets/Import/Documents/licence-2005.pdf,Driver licence and vehicle fleet statistics,PDF,https://www.transport.govt.nz/assets/Import/Documents/legislation-2005.pdf,Legislation,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road deaths year-to-date,Year to date number of road deaths for the current calendar year (comparing with the last 5 years for the same time period),https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths,Daily,transport,https://public.tableau.com/views/Dailyroaddeathsworkbook_v1/Roaddeathsstory?:embed=y&:display_count=y&:origin=viz_share_link,Road deaths by region - year to date,Year to date road deaths by region (current year),TWB,https://public.tableau.com/shared/YDQFWN2ZR?:display_count=y&:origin=viz_share_link&:embed=y,,Road deaths by region - year to date cont.,Year to date road deaths (current year) continued,TWB,,https://public.tableau.com/shared/FG3X2W22T?:display_count=y&:origin=viz_share_link&:embed=y,Road deaths by region - 12 months to date,TWB,https://public.tableau.com/shared/967XT7J8Z?:display_count=y&:origin=viz_share_link&:embed=y,Road deaths by region - 12 months to date continued,TWB,https://public.tableau.com/shared/RBGZ8JJX5?:display_count=y&:origin=viz_share_link&:embed=y,Road deaths by police district - year to date,TWB,https://public.tableau.com/shared/5F3RMHPBR?:display_count=y&:origin=viz_share_link&:embed=y,Road deaths by police district - year to date cont.,TWB,https://public.tableau.com/shared/B2GGKJJSW?:display_count=y&:origin=viz_share_link&:embed=y,Road deaths by police district - 12 months to date,TWB,https://public.tableau.com/shared/MNWM298FN?:display_count=y&:origin=viz_share_link&:embed=y,Road deaths by local body - year to date,TWB,https://public.tableau.com/shared/KR89D6C9B?:display_count=y&:origin=viz_share_link&:embed=y,Road deaths by local body - year to date cont.,TWB,https://public.tableau.com/shared/W85PRQ92R?:display_count=y&:origin=viz_share_link&:embed=y,Road deaths by local body - 12 months to date,TWB,https://public.tableau.com/shared/P76JM4P8Z?:display_count=y&:origin=viz_share_link&:embed=y,Fatal crashes by region - year to date,TWB,https://public.tableau.com/shared/P76JM4P8Z?:display_count=y&:origin=viz_share_link&:embed=y,Fatal crashes by region - 12 moths to date,TWB,https://public.tableau.com/shared/X59FT62R3?:display_count=y&:origin=viz_share_link&:embed=y,Fatal crashes by police district - year to date,TWB,https://public.tableau.com/shared/DFF57RCK3?:display_count=y&:origin=viz_share_link&:embed=y,Fatal crashes by police district - 12 months to date,TWB,https://public.tableau.com/shared/GD4G528WY?:display_count=y&:origin=viz_share_link&:embed=y,Fatal crashes by local body - year to date,TWB,https://public.tableau.com/shared/STDGF3BZ5?:display_count=y&:origin=viz_share_link&:embed=y,Fatal crashes by local body - 12 months to date,TWB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Road Deaths 2019 (provisional),A summary covering provisional road deaths data for the previous calendar year,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-road-deaths-2019-provisional/,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,20-05-2020,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-road-deaths-2019-provisional/,Annual,transport,https://public.tableau.com/shared/YFKQGYGY5?:display_count=n&:origin=viz_share_link&:embed=y,Type of road user,Annual road deaths (provisional),TWB,https://public.tableau.com/shared/D2WQBDQ2H?:display_count=n&:origin=viz_share_link&:embed=y,,Weekend,Annual road deaths (provisional),TWB,,https://public.tableau.com/shared/7BCZBRJY8?:display_count=n&:origin=viz_share_link&:embed=y,Road type (road deaths - provisional),TWB,https://public.tableau.com/views/FATALS_2018/Annualroaddeaths?:embed=y&:display_count=n&:origin=viz_share_link,Region (road deaths - provisional),TWB,https://public.tableau.com/shared/DKFG47982?:display_count=n&:origin=viz_share_link&:embed=y,Local authority (road deaths - provisional),TWB,https://public.tableau.com/shared/94HXCXPJG?:display_count=n&:origin=viz_share_link&:embed=y,Police district (road deaths - provisional),TWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly road deaths,"Quarterly road deaths reports uo to Quaerter 2, 2018",https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/quarterly-road-deaths/,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,28-02-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/quarterly-road-deaths/,Quarterly,transport,https://www.transport.govt.nz/assets/d277fa9ef7/Road-Deaths-2018Q4.xlsx,Road Deaths 2018Q4,Quarterly road deaths,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/ec1dd28f8c/Road-Deaths-2018Q3.xlsx,737 KB,Road Deaths 2018Q3,Quarterly road deaths,XLSX,725 KB,https://www.transport.govt.nz/assets/Uploads/Research/Documents/387fad2910/Road-Deaths-2018Q2.xlsx,Road Deaths 2018Q2,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Quarterly-road-toll/ace32e37bf/Road-Deaths-2018Q1.xlsx,Road Deaths 2018Q1,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Quarterly-road-toll/30d8fa749f/Road-Deaths-2017Q4.xlsx,Road Deaths 2017Q4,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Quarterly-road-toll/6bfc164bcf/Road-Deaths-2017Q3.xlsx,Road Deaths 2017Q3,XLXS,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Quarterly-road-toll/593342f8c6/Road-Deaths-2017Q2.xlsx,Road Deaths 2017Q2,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Quarterly-road-toll/a41a18c20b/Road-Deaths-2017Q1.xlsx,Road Deaths 2017Q1,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Quarterly-road-toll/1254b053f4/Road-Deaths-2016Q4.xlsx,Road Deaths 2016Q4,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Quarterly-road-toll/c1fe6f7b11/Road-Deaths-2016Q3.xlsx,Road Deaths 2016Q3,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Quarterly-road-toll/b8859b5992/Road-Deaths-2016Q2.xlsx,Road Deaths 2016Q2,XLSX,https://www.transport.govt.nz/assets/Uploads/Research/Documents/Quarterly-road-toll/f15cd367e5/Road-Deaths-2016Q1.xls,Road Deaths 2016Q1,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual number of road deaths historical information,Number of annual road deaths since 1921,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-number-of-road-deaths-historical-information,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,01-01-2020,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-number-of-road-deaths-historical-information,Annual,transport,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-number-of-road-deaths-historical-information,Historical deaths since 1921,Road deaths since 1921,HTML,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-number-of-road-deaths-historical-information,,Road deaths and reported injury casualtiesÿ1980 to 2016,Road deaths and reported injury casualtiesÿ1980 to 2016,HTML,,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-number-of-road-deaths-historical-information,Lowest number of road deaths since 1950,HTML,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-number-of-road-deaths-historical-information,Highest number of road deaths since 1950,HTML,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-number-of-road-deaths-historical-information,Age groups - road deaths 1990 - 2018,HTML,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-number-of-road-deaths-historical-information,Types of road users killed 1990 - 2018,HTML,https://www.transport.govt.nz/mot-resources/road-safety-resources/road-deaths/annual-number-of-road-deaths-historical-information/,Local government region road toll,HTML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
